village,female,water,irrigation
GP1_village2,1,13,0
GP1_village1,1,0,5
GP2_village2,1,3,2
GP2_village1,1,42,4
GP3_village2,0,0,0
GP3_village1,0,0,0
GP4_village2,0,9,4
GP4_village1,0,16,0
GP5_village2,0,38,0
GP5_village1,0,0,0
GP6_village2,0,31,0
GP6_village1,0,16,4
GP7_village2,0,0,0
GP7_village1,0,0,0
GP8_village2,1,55,4
GP8_village1,1,31,5
GP9_village2,0,0,0
GP9_village1,0,0,1
GP10_village2,0,16,9
GP10_village1,0,79,52
GP11_village2,0,94,20
GP11_village1,0,9,5
GP12_village2,0,3,0
GP12_village1,0,4,0
GP13_village2,0,31,32
GP13_village1,0,0,0
GP14_village2,1,1,0
GP14_village1,1,1,0
GP15_village2,1,0,2
GP15_village1,1,0,12
GP16_village2,0,7,0
GP16_village1,0,8,0
GP17_village2,0,13,1
GP17_village1,0,4,0
GP18_village2,1,9,1
GP18_village1,1,13,0
GP19_village2,0,55,0
GP19_village1,0,102,0
GP20_village2,1,0,0
GP20_village1,1,165,21
GP21_village2,0,1,1
GP21_village1,0,9,0
GP22_village2,0,0,0
GP22_village1,0,0,0
GP23_village2,0,3,0
GP23_village1,0,24,0
GP24_village2,0,24,7
GP24_village1,0,21,0
GP25_village2,1,456,21
GP25_village1,1,8,15
GP26_village2,0,7,5
GP26_village1,0,0,5
GP27_village2,1,414,40
GP27_village1,1,5,0
GP28_village2,0,7,0
GP28_village1,0,11,0
GP29_village2,0,12,0
GP29_village1,0,0,3
GP30_village2,1,42,7
GP30_village1,1,268,0
GP31_village2,0,27,0
GP31_village1,0,16,0
GP32_village2,0,38,0
GP32_village1,0,55,5
GP33_village2,0,0,0
GP33_village1,0,0,1
GP34_village2,1,13,0
GP34_village1,1,7,0
GP35_village2,0,3,0
GP35_village1,0,5,15
GP36_village2,0,79,3
GP36_village1,0,25,0
GP37_village2,1,11,0
GP37_village1,1,1,0
GP38_village2,0,13,0
GP38_village1,0,5,0
GP39_village2,0,21,0
GP39_village1,0,3,0
GP40_village2,0,7,0
GP40_village1,0,4,0
GP41_village2,0,13,0
GP41_village1,0,4,0
GP42_village2,0,12,0
GP42_village1,0,8,0
GP43_village2,1,1,0
GP43_village1,1,9,7
GP44_village2,1,34,2
GP44_village1,1,0,0
GP45_village2,0,15,0
GP45_village1,0,0,0
GP46_village2,1,17,1
GP46_village1,1,5,0
GP47_village2,0,23,0
GP47_village1,0,23,0
GP48_village2,1,7,0
GP48_village1,1,11,0
GP49_village2,1,105,10
GP49_village1,1,25,0
GP50_village2,0,3,0
GP60_village2,0,32,0
GP60_village1,0,32,0
GP61_village2,0,0,0
GP61_village1,0,13,0
GP62_village2,1,0,0
GP62_village1,1,193,0
GP63_village2,1,3,0
GP63_village1,1,7,0
GP64_village2,0,8,0
GP64_village1,0,1,0
GP65_village2,1,58,0
GP65_village1,1,12,0
GP66_village2,1,51,0
GP66_village1,1,34,5
GP67_village2,0,15,0
GP67_village1,0,20,0
GP68_village2,0,0,0
GP68_village1,0,12,0
GP69_village2,0,40,0
GP69_village1,0,3,0
GP70_village2,1,131,0
GP70_village1,1,59,0
GP71_village2,0,1,0
