adult,spiders,blindbox
1,13,0
1,0,5
1,3,2
1,42,4
0,0,0
0,0,0
0,9,4
0,16,0
0,38,0
0,0,0
0,31,0
0,16,4
0,0,0
0,0,0
1,55,4
1,31,5
0,0,0
0,0,1
0,16,9
0,79,52
0,94,20
0,9,5
0,3,0
0,4,0
0,31,32
0,0,0
1,1,0
1,1,0
1,0,2
1,0,12
0,7,0
0,8,0
0,13,1
0,4,0
1,9,1
1,13,0
0,55,0
0,102,0
1,0,0
1,165,21
0,1,1
0,9,0
0,0,0
0,0,0
0,3,0
0,24,0
0,24,7
0,21,0
1,456,21
1,8,15
0,7,5
0,0,5
1,414,40
1,5,0
0,7,0
0,11,0
0,12,0
0,0,3
1,42,7
1,268,0
0,27,0
0,16,0
0,38,0
0,55,5
0,0,0
0,0,1
1,13,0
1,7,0
0,3,0
0,5,15
0,79,3
0,25,0
1,11,0
1,1,0
0,13,0
0,5,0
0,21,0
0,3,0
0,7,0
0,4,0
0,13,0
0,4,0
0,12,0
0,8,0
1,1,0
1,9,7
1,34,2
1,0,0
0,15,0
0,0,0
1,17,1
1,5,0
0,23,0
0,23,0
1,7,0
1,11,0
1,105,10
1,25,0
0,3,0
0,32,0
0,32,0
0,0,0
0,13,0
1,0,0
1,193,0
1,3,0
1,7,0
0,8,0
0,1,0
1,58,0
1,12,0
1,51,0
1,34,5
0,15,0
0,20,0
0,0,0
0,12,0
0,40,0
0,3,0
1,131,0
1,59,0
0,1,0
0,7,0
1,3,0
1,5,0
0,13,0
0,19,0
0,0,0
0,0,0
0,4,0
0,31,13
0,1,0
0,13,0
0,7,0
0,12,0
1,8,0
1,3,0
0,0,0
0,8,5
1,11,0
1,9,0
0,0,0
0,5,3
0,15,3
0,23,0
1,0,0
1,17,6
0,12,1
0,7,0
0,0,0
0,5,0
0,16,0
0,17,1
0,5,0
0,38,0
0,1,1
0,17,1
0,11,0
0,0,0
1,4,0
1,8,2
1,4,0
1,21,0
0,72,0
0,3,15
0,11,0
0,31,0
0,12,1
0,16,0
1,15,0
1,7,1
0,21,0
0,3,0
1,12,0
1,20,12
1,16,0
1,11,2
0,17,6
0,9,1
1,3,5
1,9,0
0,27,2
0,4,0
1,80,1
1,8,0
0,4,0
0,4,0
0,29,0
0,9,9
0,17,0
0,29,0
0,11,1
0,19,0
0,3,1
0,32,0
0,17,0
0,28,0
1,7,0
1,11,0
0,32,0
0,9,0
1,24,0
1,39,0
0,35,0
0,13,0
0,54,16
0,13,8
1,9,14
1,21,2
0,5,0
0,9,0
0,54,0
1,9,2
1,0,0
0,25,0
0,4,2
0,54,0
0,3,0
1,23,1
1,12,0
0,9,4
0,56,1
0,1,0
0,4,1
0,4,0
0,88,0
0,8,0
0,47,30
0,68,3
0,17,10
0,9,0
0,21,0
0,27,0
0,28,0
0,4,0
0,5,8
1,15,0
1,39,0
1,3,0
1,7,5
0,3,0
0,15,0
