"","locality","yearmonth","isbanned","population","density","income","tavg","monthtotal_ll"
"1","Austin",2017-01-01,0,979882,3007,91501,54.2,10.9929077228353
"2","Austin",2017-10-01,0,979882,3007,91501,71.8,4.87519732320115
"3","Austin",2017-11-01,0,979882,3007,91501,71.8,5.30330490805908
"4","Austin",2017-12-01,0,979882,3007,91501,54.2,6.29526600143965
"5","Austin",2017-02-01,0,979882,3007,91501,54.2,8.1086232683546
"6","Austin",2017-03-01,0,979882,3007,91501,70.5,6.93244789157251
"7","Austin",2017-04-01,0,979882,3007,91501,70.5,9.43835205468725
"8","Austin",2017-05-01,0,979882,3007,91501,70.5,6.44094654063292
"9","Austin",2017-06-01,0,979882,3007,91501,86.1,7.8659554139335
"10","Austin",2017-07-01,0,979882,3007,91501,86.1,7.17625453201714
"11","Austin",2017-08-01,0,979882,3007,91501,86.1,7.86326672400957
"12","Austin",2017-09-01,0,979882,3007,91501,71.8,6.21460809842219
"13","Austin",2018-01-01,0,979882,3007,91501,54.2,8.62532985002082
"14","Austin",2018-10-01,0,979882,3007,91501,71.8,5.92157841964382
"15","Austin",2018-11-01,0,979882,3007,91501,71.8,6.26339826259162
"16","Austin",2018-12-01,0,979882,3007,91501,54.2,4.29045944114839
"17","Austin",2018-02-01,0,979882,3007,91501,54.2,8.48673398393153
"18","Austin",2018-03-01,0,979882,3007,91501,70.5,9.91847468234438
"19","Austin",2018-04-01,0,979882,3007,91501,70.5,7.67600993202889
"20","Austin",2018-05-01,0,979882,3007,91501,70.5,5.29831736654804
"21","Austin",2018-06-01,0,979882,3007,91501,86.1,9.19938053173984
"22","Austin",2018-07-01,0,979882,3007,91501,86.1,2.39789527279837
"23","Austin",2018-08-01,0,979882,3007,91501,86.1,6.27664348934164
"24","Austin",2018-09-01,0,979882,3007,91501,71.8,10.3422584793508
"25","Austin",2019-01-01,0,979882,3007,91501,54.2,6.85751406254539
"26","Austin",2019-10-01,0,979882,3007,91501,71.8,4.36944785246702
"27","Austin",2019-11-01,0,979882,3007,91501,71.8,5.57215403217776
"28","Austin",2019-12-01,0,979882,3007,91501,54.2,5.86078622346587
"29","Austin",2019-02-01,0,979882,3007,91501,54.2,6.10031895202006
"30","Austin",2019-03-01,0,979882,3007,91501,70.5,7.79152281915073
"31","Austin",2019-04-01,0,979882,3007,91501,70.5,4.61512051684126
"32","Austin",2019-05-01,0,979882,3007,91501,70.5,6.06610809010375
"33","Austin",2019-06-01,0,979882,3007,91501,86.1,0
"34","Austin",2019-07-01,0,979882,3007,91501,86.1,7.34277918933185
"35","Austin",2019-08-01,0,979882,3007,91501,86.1,7.60140233458373
"36","Austin",2019-09-01,0,979882,3007,91501,71.8,5.30330490805908
"37","Austin",2020-01-01,0,979882,3007,91501,54.2,8.51458980554612
"38","Austin",2020-10-01,0,979882,3007,91501,71.8,5.39362754635236
"39","Austin",2020-11-01,0,979882,3007,91501,71.8,7.44249272279444
"40","Austin",2020-12-01,0,979882,3007,91501,54.2,0
"41","Austin",2020-02-01,0,979882,3007,91501,54.2,0
"42","Austin",2020-03-01,0,979882,3007,91501,70.5,0
"43","Austin",2020-04-01,0,979882,3007,91501,70.5,6.19236248947487
"44","Austin",2020-05-01,0,979882,3007,91501,70.5,8.34117174717076
"45","Austin",2020-06-01,0,979882,3007,91501,86.1,7.89095671613892
"46","Austin",2020-07-01,0,979882,3007,91501,86.1,6.71901315438526
"47","Austin",2020-08-01,0,979882,3007,91501,86.1,5.95583736946483
"48","Austin",2020-09-01,0,979882,3007,91501,71.8,8.0471895621705
"49","Austin",2021-01-01,0,979882,3007,91501,54.2,7.17548971362422
"50","Austin",2021-10-01,0,979882,3007,91501,71.8,7.06561336359772
